prestg10,educ,race,mawrkgrw,unrelat,colath,popular,divlaw,letdie1,helpfulv
45.0,16.0,white,,,"yes, allowed to teach",,,,
50.0,10.0,white,,0.0,not allowed,,,,
49.0,12.0,white,,0.0,not allowed,,,,
60.0,17.0,white,,0.0,not allowed,,,,
31.0,12.0,white,,0.0,"yes, allowed to teach",,,,
45.0,14.0,white,,,"yes, allowed to teach",,,,
43.0,13.0,white,,,"yes, allowed to teach",,,,
33.0,16.0,white,,,"yes, allowed to teach",,,,
33.0,12.0,black,,0.0,not allowed,,,,
25.0,12.0,black,,0.0,not allowed,,,,
31.0,13.0,black,,0.0,not allowed,,,,
29.0,6.0,black,,0.0,not allowed,,,,
29.0,9.0,black,,0.0,not allowed,,,,
33.0,8.0,black,,0.0,not allowed,,,,
25.0,9.0,black,,0.0,not allowed,,,,
29.0,14.0,black,,0.0,not allowed,,,,
43.0,14.0,white,,0.0,not allowed,,,,
51.0,8.0,white,,0.0,not allowed,,,,
64.0,17.0,white,,0.0,"yes, allowed to teach",,,,
,14.0,white,,0.0,not allowed,,,,
53.0,12.0,white,,0.0,not allowed,,,,
59.0,11.0,white,,0.0,not allowed,,,,
35.0,13.0,white,,0.0,"yes, allowed to teach",,,,
47.0,12.0,white,,0.0,"yes, allowed to teach",,,,
61.0,16.0,white,,0.0,not allowed,,,,
22.0,12.0,white,,0.0,not allowed,,,,
31.0,12.0,white,,0.0,not allowed,,,,
39.0,12.0,white,,0.0,not allowed,,,,
24.0,12.0,white,,0.0,"yes, allowed to teach",,,,
38.0,9.0,white,,0.0,,,,,
33.0,6.0,white,,0.0,,,,,
64.0,14.0,white,,0.0,"yes, allowed to teach",,,,
62.0,16.0,white,,0.0,"yes, allowed to teach",,,,
31.0,8.0,white,,0.0,not allowed,,,,
32.0,12.0,white,,0.0,not allowed,,,,
25.0,14.0,white,,0.0,"yes, allowed to teach",,,,
50.0,13.0,white,,0.0,not allowed,,,,
,10.0,white,,1.0,not allowed,,,,
46.0,6.0,white,,,not allowed,,,,
74.0,12.0,white,,0.0,not allowed,,,,
,8.0,white,,,not allowed,,,,
46.0,14.0,white,,0.0,not allowed,,,,
